name,nomenclature,gaia_dr3_id,ra_deg,dec_deg,pmra_mas_yr,pmdec_mas_yr,parallax_mas,magnitude_v,color_index,ecl_lon_deg,ecl_lat_deg,arc_vis_deg,lat_limit_deg
Bats??,L  119-213,0,340.4921549214071,-69.16897798384721,334.419,-726.986,67.2123,15.260000228881836,2.039999008178711,304.88705737599923,-54.12256747501897,28.312000274658203,20.831022016152787
Danfeng,CD-60  8051,0,350.0313521431045,-60.06517906890805,-319.924,-127.782,39.7113,11.020000457763672,1.4299993515014648,319.2179049408161,-49.52794299422767,23.224000549316408,29.93482093109195
Dilmun,CD-38  3220,0,107.60025190244,-39.09738090290999,-3.735,25.663,3.7996,10.510000228881836,0.48999977111816406,118.74366048428348,-60.79217251919292,22.6120002746582,50.90261909709001
Filetdor,BD-20  2976,0,144.87535880005,-20.982467018490002,-55.101,11.152,8.7523,9.350000381469727,0.5899991989135742,155.35008363191602,-32.8350223695418,21.22000045776367,69.01753298151
Gar,Wolf  437,0,191.98593570549582,9.751398796318611,-1008.267,-460.034,123.7756,11.395000457763672,1.5629997253417969,187.11922366023114,13.69838030335802,23.674000549316403,80.24860120368139
Gnomon,WASP-43,0,154.90837038061,-9.80627938926,-41.992,-38.004,11.474,12.489999771118164,1.2919998168945312,160.52134087624256,-18.813140221807263,24.987999725341794,80.19372061074
Guahayona,HAT-P-26,0,213.1563879597129,4.060032380532777,37.735,-142.816,6.9985,11.760000228881836,0.5699996948242188,209.49516309844827,16.377690105159434,24.1120002746582,85.93996761946723
Kaewkosin,LP  424-4,0,119.77433139863999,15.391454462500002,-185.706,-56.994,34.0172,0.0,0.0,118.73104599107705,-5.127458034848862,10.0,74.60854553749999
Komondor,HAT-P-12,0,209.38944530266625,43.49350041909417,-134.793,-44.229,7.0448,12.765999794006348,1.0850000381469727,184.77990151859012,50.63222710389522,25.319199752807616,46.50649958090583
Kosjenka,CD-38  2551,0,94.33645207478,-38.3232650174,-17.469,-27.292,3.4609,11.149999618530273,0.5900001525878906,97.1773554456073,-61.65454623607119,23.379999542236327,51.6767349826
Maru,L   97-3,0,121.72397357039459,-66.30463918751889,335.519,-288.994,51.997,13.699999809265137,0.06000041961669922,193.470981687118,-77.4498275900616,26.439999771118163,23.695360812481113
