asteroid_number,family_name,family_id,catalog_source,population,reported_family_member_count,is_primary
926,Imhilde,P25-3039,Proper25_2026,main_belt,451,true
928,Tirela,P25-3012,Proper25_2026,main_belt,14114,true
933,Erigone,P25-1006,Proper25_2026,main_belt,3601,true
935,Baptistina,P25-1003,Proper25_2026,main_belt,15922,true
935,Flora,P25-1002,Proper25_2026,main_belt,23002,false
936,Themis,P25-3002,Proper25_2026,main_belt,13627,true
938,Themis,P25-3002,Proper25_2026,main_belt,13627,true
945,Barcelona,P25-5005,Proper25_2026,main_belt,5428,true
950,Phocaea,P25-4001,Proper25_2026,main_belt,8406,true
953,Bellona,P25-2042,Proper25_2026,main_belt,958,true
954,Beagle,P25-3020,Proper25_2026,main_belt,638,true
954,Themis,P25-3002,Proper25_2026,main_belt,13627,false
956,Baptistina,P25-1003,Proper25_2026,main_belt,15922,true
956,Flora,P25-1002,Proper25_2026,main_belt,23002,false
962,Koronis,P25-3005,Proper25_2026,main_belt,12208,true
967,Flora,P25-1002,Proper25_2026,main_belt,23002,true
968,Itha,P25-3033,Proper25_2026,main_belt,155,true
975,Koronis,P25-3005,Proper25_2026,main_belt,12208,true
981,Themis,P25-3002,Proper25_2026,main_belt,13627,true
991,McDonalda,P25-3067,Proper25_2026,main_belt,260,true
991,Themis,P25-3002,Proper25_2026,main_belt,13627,false
993,Koronis,P25-3005,Proper25_2026,main_belt,12208,true
996,Themis,P25-3002,Proper25_2026,main_belt,13627,true
997,Adeona,P25-2005,Proper25_2026,main_belt,7382,true
1003,Themis,P25-3002,Proper25_2026,main_belt,13627,true
1020,Agnia,P25-2014,Proper25_2026,main_belt,8374,true
1026,Flora,P25-1002,Proper25_2026,main_belt,23002,true
1027,Beagle,P25-3020,Proper25_2026,main_belt,638,true
1027,Themis,P25-3002,Proper25_2026,main_belt,13627,false
1029,Koronis,P25-3005,Proper25_2026,main_belt,12208,true
1037,Flora,P25-1002,Proper25_2026,main_belt,23002,true
1038,Hilda,PDS2015-001,NASA_PDS_2015_excluded_population,hilda,409,true
1040,Tirela,P25-3012,Proper25_2026,main_belt,14114,true
1047,Baptistina,P25-1003,Proper25_2026,main_belt,15922,true
1047,Flora,P25-1002,Proper25_2026,main_belt,23002,false
1048,Feodosia,P25-2057,Proper25_2026,main_belt,125,true
1050,Eunomia,P25-2002,Proper25_2026,main_belt,13099,true
1056,Flora,P25-1002,Proper25_2026,main_belt,23002,true
1058,Baptistina,P25-1003,Proper25_2026,main_belt,15922,true
1058,Flora,P25-1002,Proper25_2026,main_belt,23002,false
1060,Flora,P25-1002,Proper25_2026,main_belt,23002,true
1061,Themis,P25-3002,Proper25_2026,main_belt,13627,true
1067,Itha,P25-3033,Proper25_2026,main_belt,155,true
1070,Ursula,P25-3031,Proper25_2026,main_belt,5228,true
1073,Themis,P25-3002,Proper25_2026,main_belt,13627,true
1074,Themis,P25-3002,Proper25_2026,main_belt,13627,true
1075,Eos,P25-3006,Proper25_2026,main_belt,33006,true
1079,Karin,P25-3010,Proper25_2026,main_belt,3863,true
1079,Koronis2,P25-3021,Proper25_2026,main_belt,3863,false
1079,Koronis,P25-3005,Proper25_2026,main_belt,12208,false
1082,Themis,P25-3002,Proper25_2026,main_belt,13627,true
1086,Veritas,P25-3009,Proper25_2026,main_belt,6375,true
1086,Eos,P25-3006,Proper25_2026,main_belt,33006,false
1087,Eos,P25-3006,Proper25_2026,main_belt,33006,true
1093,Euphrosyne,P25-6001,Proper25_2026,main_belt,15488,true
1094,Eunomia,P25-2002,Proper25_2026,main_belt,13099,true
1095,Eos,P25-3006,Proper25_2026,main_belt,33006,true
1100,Koronis,P25-3005,Proper25_2026,main_belt,12208,true
1101,Alauda,P25-6002,Proper25_2026,main_belt,3556,true
1103,Hungaria,P25-4002,Proper25_2026,main_belt,3914,true
1105,Eos,P25-3006,Proper25_2026,main_belt,33006,true
1106,Eunomia,P25-2002,Proper25_2026,main_belt,13099,true
1107,Hygiea,P25-3001,Proper25_2026,main_belt,12750,true
1109,Hygiea,P25-3001,Proper25_2026,main_belt,12750,true
1112,Eos,P25-3006,Proper25_2026,main_belt,33006,true
1114,Eos,P25-3006,Proper25_2026,main_belt,33006,true
1120,Baptistina,P25-1003,Proper25_2026,main_belt,15922,true
1120,Flora,P25-1002,Proper25_2026,main_belt,23002,false
1123,Baptistina,P25-1003,Proper25_2026,main_belt,15922,true
1123,Flora,P25-1002,Proper25_2026,main_belt,23002,false
1127,Mimi,P25-2058,Proper25_2026,main_belt,82,true
1128,Astrid,P25-2015,Proper25_2026,main_belt,1585,true
1129,Eos,P25-3006,Proper25_2026,main_belt,33006,true
1145,Vesta,P25-1001,Proper25_2026,main_belt,27121,true
1148,Eos,P25-3006,Proper25_2026,main_belt,33006,true
1153,Baptistina,P25-1003,Proper25_2026,main_belt,15922,true
1153,Flora,P25-1002,Proper25_2026,main_belt,23002,false
1156,Kira,P25-1025,Proper25_2026,main_belt,33,true
1160,Illyria,P25-2059,Proper25_2026,main_belt,692,true
1164,Phocaea,P25-4001,Proper25_2026,main_belt,8406,true
1168,Eunomia,P25-2002,Proper25_2026,main_belt,13099,true
1170,Phocaea,P25-4001,Proper25_2026,main_belt,8406,true
1174,Eos,P25-3006,Proper25_2026,main_belt,33006,true
1183,Nysa-Polana,P25-1005,Proper25_2026,main_belt,38648,true
1186,Eos,P25-3006,Proper25_2026,main_belt,33006,true
1189,Terentia,P25-3018,Proper25_2026,main_belt,541,true
1191,Fringilla,P25-3023,Proper25_2026,main_belt,498,true
1192,Phocaea,P25-4001,Proper25_2026,main_belt,8406,true
1193,Eunomia,P25-2002,Proper25_2026,main_belt,13099,true
1194,Aletta,P25-3055,Proper25_2026,main_belt,294,true
1199,Eos,P25-3006,Proper25_2026,main_belt,33006,true
1200,Hygiea,P25-3001,Proper25_2026,main_belt,12750,true
1207,Eos,P25-3006,Proper25_2026,main_belt,33006,true
1209,Hygiea,P25-3001,Proper25_2026,main_belt,12750,true
1210,Eos,P25-3006,Proper25_2026,main_belt,33006,true
1212,Hilda,PDS2015-001,NASA_PDS_2015_excluded_population,hilda,409,true
1217,Maximiliana,P25-1026,Proper25_2026,main_belt,28,true
1220,Eos,P25-3006,Proper25_2026,main_belt,33006,true
1222,Tina,P25-5006,Proper25_2026,main_belt,1035,true
1223,Karin,P25-3010,Proper25_2026,main_belt,3863,true
1223,Koronis2,P25-3021,Proper25_2026,main_belt,3863,false
1223,Koronis,P25-3005,Proper25_2026,main_belt,12208,false
1229,Themis,P25-3002,Proper25_2026,main_belt,13627,true
1234,Eos,P25-3006,Proper25_2026,main_belt,33006,true
1238,Adeona,P25-2005,Proper25_2026,main_belt,7382,true
1249,Baptistina,P25-1003,Proper25_2026,main_belt,15922,true
1249,Flora,P25-1002,Proper25_2026,main_belt,23002,false
1252,Pallas,P25-5001,Proper25_2026,main_belt,515,true
1253,Themis,P25-3002,Proper25_2026,main_belt,13627,true
1259,Themis,P25-3002,Proper25_2026,main_belt,13627,true
1265,Eos,P25-3006,Proper25_2026,main_belt,33006,true
1270,Datura,P25-1011,Proper25_2026,main_belt,77,true
1270,Baptistina,P25-1003,Proper25_2026,main_belt,15922,false
1270,Flora,P25-1002,Proper25_2026,main_belt,23002,false
1272,Gefion,P25-2016,Proper25_2026,main_belt,4807,true
1274,Baptistina,P25-1003,Proper25_2026,main_belt,15922,true
1274,Flora,P25-1002,Proper25_2026,main_belt,23002,false
1275,Eunomia,P25-2002,Proper25_2026,main_belt,13099,true
1276,Alauda,P25-6002,Proper25_2026,main_belt,3556,true
1286,Eos,P25-3006,Proper25_2026,main_belt,33006,true
1287,Eos,P25-3006,Proper25_2026,main_belt,33006,true
1289,Kutaissi,P25-3046,Proper25_2026,main_belt,371,true
1289,Koronis,P25-3005,Proper25_2026,main_belt,12208,false
1291,Eos,P25-3006,Proper25_2026,main_belt,33006,true
1297,Eos,P25-3006,Proper25_2026,main_belt,33006,true
1301,Pallas,P25-5001,Proper25_2026,main_belt,515,true
1302,Themis,P25-3002,Proper25_2026,main_belt,13627,true
1303,Luthera,P25-6004,Proper25_2026,main_belt,1116,true
1306,Ursula,P25-3031,Proper25_2026,main_belt,5228,true
1307,Flora,P25-1002,Proper25_2026,main_belt,23002,true
1308,Charis,P25-3016,Proper25_2026,main_belt,3444,true
1310,Phocaea,P25-4001,Proper25_2026,main_belt,8406,true
1312,Vassar,P25-6010,Proper25_2026,main_belt,21,true
1312,Alauda,P25-6002,Proper25_2026,main_belt,3556,false
1316,Phocaea,P25-4001,Proper25_2026,main_belt,8406,true
1318,Phocaea,P25-4001,Proper25_2026,main_belt,8406,true
1322,Phocaea,P25-4001,Proper25_2026,main_belt,8406,true
1323,Tugela,P25-6016,Proper25_2026,main_belt,412,true
1327,Merxia,P25-2013,Proper25_2026,main_belt,4226,true
1329,Eunomia,P25-2002,Proper25_2026,main_belt,13099,true
1332,Marconia,P25-3036,Proper25_2026,main_belt,275,true
1333,Eunomia,P25-2002,Proper25_2026,main_belt,13099,true
1336,Kutaissi,P25-3046,Proper25_2026,main_belt,371,true
1336,Koronis,P25-3005,Proper25_2026,main_belt,12208,false
1339,Eos,P25-3006,Proper25_2026,main_belt,33006,true
1340,Themis,P25-3002,Proper25_2026,main_belt,13627,true
1342,Phocaea,P25-4001,Proper25_2026,main_belt,8406,true
1346,Gotha,P25-2094,Proper25_2026,main_belt,7,true
1347,Patria,P25-2060,Proper25_2026,main_belt,132,true
1350,Koronis,P25-3005,Proper25_2026,main_belt,12208,true
1353,Eos,P25-3006,Proper25_2026,main_belt,33006,true
1357,Khama,P25-3068,Proper25_2026,main_belt,62,true
1364,Eos,P25-3006,Proper25_2026,main_belt,33006,true
1365,Baptistina,P25-1003,Proper25_2026,main_belt,15922,true
